==6777== NVPROF is profiling process 6777, command: python3 main.py --epochs 1
==6777== Profiling application: python3 main.py --epochs 1
==6777== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,
1.972220,0.001568,,,,,,,,,,0.001099,0.684237,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972391,0.000896,,,,,,,,,,0.000122,0.133046,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972490,0.024768,,,,,,,,,,0.070312,2.772309,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972580,0.000928,,,,,,,,,,0.000244,0.256917,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.973000,1.438101,,,,,,,,,,4.500000,3.055788,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974636,0.001248,,,,,,,,,,0.000488,0.382081,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974704,0.002048,,,,,,,,,,0.004883,2.328306,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974757,0.000960,,,,,,,,,,0.000038,0.038805,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.021830,0.062881,,,,,,,,,,0.191406,2.972602,"Pinned","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.022292,0.000928,,,,,,,,,,0.000488,0.513833,"Pinned","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.743918,0.003712,,,,,,,,,,0.002319,0.610177,"Device",,"Tesla K20c (0)","1","23","[CUDA memset]"
2.743994,0.000928,,,,,,,,,,0.000107,0.112401,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.744207,0.124194,1352,1,1,8,8,1,64,2.250000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int) [767]"
